19990802 00:00,1327500,1347500,1325000,1329400,5783300
19990803 00:00,1337200,1338400,1313800,1323600,5268700
19990804 00:00,1327200,1338800,1305300,1306900,5986000
19990805 00:00,1308800,1317200,1288400,1315600,9910600
19990806 00:00,1312200,1320000,1295000,1300600,7129800
19990809 00:00,1305900,1318000,1297200,1300500,5162600
19990810 00:00,1298800,1301600,1270000,1282200,9971000
19990811 00:00,1296900,1305300,1286300,1305300,7796900
19990812 00:00,1306900,1318100,1300000,1300200,6292100
19990813 00:00,1316300,1332500,1311300,1331900,5609100
19990816 00:00,1331300,1339700,1322500,1333800,3637600
19990817 00:00,1344400,1351600,1331300,1347000,4708500
19990818 00:00,1342000,1343800,1334100,1335600,4046500
19990819 00:00,1323800,1332300,1316900,1328800,6345700
19990820 00:00,1330600,1339100,1326900,1338800,3054700
19990823 00:00,1348100,1364500,1346600,1363900,5284900
19990824 00:00,1360600,1379700,1353800,1365000,9108100
19990825 00:00,1371900,1387800,1279100,1384400,5894000
19990826 00:00,1382800,1384200,1365000,1365000,4057900
19990827 00:00,1368800,1370600,1351300,1351600,5935300
19990830 00:00,1353400,1355000,1323900,1326600,4286300
19990831 00:00,1329400,1337500,1307500,1325000,11968000
19990901 00:00,1329400,1335600,1323100,1335600,6137800
19990902 00:00,1321300,1326700,1306600,1322500,11370700
19990903 00:00,1348800,1362800,1346900,1361900,9796800
19990907 00:00,1360600,1366300,1342800,1355200,4507400
19990908 00:00,1348400,1360600,1335000,1349100,6999800
19990909 00:00,1347500,1352500,1336900,1351300,5950500
19990910 00:00,1362500,1363600,1349400,1354500,2671700
19990913 00:00,1351300,1354700,1345000,1348100,2130600
19990914 00:00,1340600,1345600,1333800,1340600,3558700
19990915 00:00,1354400,1354400,1320600,1320800,6522800
19990916 00:00,1325000,1328100,1303100,1323800,15114200
19990917 00:00,1326300,1339400,1321600,1337200,8371300
19990920 00:00,1339400,1340000,1330900,1336300,2602800
19990921 00:00,1322500,1324700,1301600,1309100,9018700
19990922 00:00,1312500,1318400,1297500,1311600,12758600
19990923 00:00,1318100,1342500,1237800,1280000,11455200
19990924 00:00,1277500,1283800,1263100,1280600,13686000
19990927 00:00,1287500,1297500,1282800,1282800,6797200
19990928 00:00,1279400,1288100,1255600,1281900,11184900
19990929 00:00,1284400,1291300,1267800,1267800,7351000
19990930 00:00,1274400,1294400,1269700,1283800,7185300
19991001 00:00,1279400,1285600,1266300,1283400,10818900
19991004 00:00,1291900,1306300,1287500,1306300,6202900
19991005 00:00,1307200,1319700,1286900,1301900,11376700
19991006 00:00,1307500,1328100,1306900,1326300,11399000
19991007 00:00,1328600,1330000,1315000,1320000,5986000
19991008 00:00,1317500,1338800,1312300,1337200,9560400
19991011 00:00,1335900,1341300,1333100,1338100,3970800
19991012 00:00,1331300,1333100,1311900,1314100,8223800
19991013 00:00,1306900,1313100,1282500,1286600,10731100
19991014 00:00,1284800,1291900,1267500,1284100,10461400
19991015 00:00,1260000,1267500,1245000,1248100,14030700
19991018 00:00,1249400,1257500,1234400,1255600,9088500
19991019 00:00,1271900,1282500,1259400,1260800,17208700
19991020 00:00,1277500,1292500,1271300,1292200,8467400
19991021 00:00,1272200,1288800,1266300,1286300,9352900
19991022 00:00,1297500,1312200,1295600,1303400,8087900
19991025 00:00,1293100,1304700,1287500,1295000,7667400
19991026 00:00,1301900,1306900,1281900,1282500,5696200
